Title;ISSN;Categories;Top Level;Primary Level;Secondary Level;Preassigned
Journal of Archaeological Science;3054403;"Archeology;Archeology arts and humanities;History ";Physical Sciences and Engineering;Materials Science;Materials Science (General);Yes
Journal of Approximation Theory;10960430;"Analysis 2; Applied Mathematics 2; Mathematics 2; Numerical Analysis 2";Physical Sciences and Engineering;NA;NA;
Journal of Artificial Intelligence;19945450;"Artificial Intelligence 4; Software 4";Physical Sciences and Engineering;Computer Science;Artificial Intelligence;
Journal of Architectural Conservation;13556207;"Conservation 2; Building and Construction 3";Physical Sciences and Engineering;NA;NA;
Journal of Asian Ceramic Societies;21870764;Ceramics and Composites 2;Physical Sciences and Engineering;Materials Science;Ceramics and Composites;Yes
Journal of Artificial Intelligence and Soft Computing Research;24496499;"Artificial Intelligence 2; Computer Vision and Pattern Recognition 2; Hardware and Architecture 2; Information Systems 2; Modeling and Simulation 2";Physical Sciences and Engineering;NA;NA;
Journal of Asian Earth Sciences;18785786;"Earth-Surface Processes;Geology ";Physical Sciences and Engineering;Earth and Planetary Sciences;Earth-Surface Processes;
Journal of Asian Earth Sciences: X;25900560;"Earth-Surface Processes; Geology";Physical Sciences and Engineering;Earth and Planetary Sciences;Earth-Surface Processes;Yes
Journal of Astronomical Instrumentation;22511725;"Instrumentation 2; Astronomy and Astrophysics 3";Physical Sciences and Engineering;Physics and Astronomy;Instrumentation;
Journal of Astronomy and Space Science;20935587;"Earth and Planetary Sciences 3; Physics and Astronomy 3";Physical Sciences and Engineering;Earth and Planetary Sciences;Earth and Planetary Sciences (General);
Journal of Astronomical Telescopes, Instruments, and Systems;23294221;"Control and Systems Engineering 2; Electronic, Optical and Magnetic Materials 2; Instrumentation 2; Mechanical Engineering 2; Astronomy and Astrophysics 3; Space and Planetary Science 3";Physical Sciences and Engineering;NA;NA;
Journal of Astrophysics and Astronomy;2506335;"Astronomy and Astrophysics 3; Space and Planetary Science 3";Physical Sciences and Engineering;Physics and Astronomy;Astronomy and Astrophysics;
Journal of Atmospheric and Solar-Terrestrial Physics;13646826;"Geophysics 2; Atmospheric Science 3; Space and Planetary Science 3";Physical Sciences and Engineering;Earth and Planetary Sciences;Geophysics;Yes
Journal of Atmospheric Chemistry;15730662;"Atmospheric Science 3; Environmental Chemistry 3";Physical Sciences and Engineering;Earth and Planetary Sciences;Atmospheric Science;
Journal of Automata, Languages and Combinatorics;25673785;"Computational Theory and Mathematics 4; Discrete Mathematics and Combinatorics 4";Physical Sciences and Engineering;Computer Science;Computational Theory and Mathematics;
Journal of Automation and Information Sciences;10642315;"Control and Systems Engineering 3; Information Systems 3; Software 3";Physical Sciences and Engineering;Engineering;Control and Systems Engineering;
Journal of Automated Reasoning;15730670;"Artificial Intelligence 2; Computational Theory and Mathematics 2; Software 2";Physical Sciences and Engineering;NA;NA;
Journal of Beijing Institute of Clothing Technology (Natural Science Edition);10010564;Materials Science 3;Physical Sciences and Engineering;Materials Science;Materials Science (General);
Journal of Automation, Mobile Robotics and Intelligent Systems;20802145;"Artificial Intelligence 4; Control and Systems Engineering 4; Signal Processing 4";Physical Sciences and Engineering;NA;NA;
Journal of Avian Medicine and Surgery;10826742;"Small Animals 2; Medicine 3";Physical Sciences and Engineering;NA;NA;
Journal of Beijing Institute of Technology (English Edition);10040579;Engineering 3;Physical Sciences and Engineering;Engineering;Engineering (General);
Journal of Biomechanical Engineering;15288951;"Biomedical Engineering 2; Physiology medical 3";Physical Sciences and Engineering;Engineering;Biomedical Engineering;
Journal of Bio- and Tribo-Corrosion;21984220;"Mechanical Engineering 2; Materials Chemistry 3; Materials Science 3; Mechanics of Materials 3";Physical Sciences and Engineering;NA;NA;
Journal of Bioactive and Compatible Polymers;15308030;"Materials Chemistry 2; Polymers and Plastics 2; Bioengineering 3; Biomaterials 3";Physical Sciences and Engineering;NA;NA;
Journal of Biomolecular NMR;15735001;"Spectroscopy;Biochemistry 2";Physical Sciences and Engineering;Chemistry;Spectroscopy;
Journal of Biomedical Materials Research - Part A;15493296;"Ceramics and Composites;Metals and Alloys;Biomaterials 2; Biomedical Engineering 2";Physical Sciences and Engineering;NA;NA;
Journal of Biomedical Optics;15602281;"Atomic and Molecular Physics, and Optics;Biomaterials;Biomedical Engineering;Electronic, Optical and Magnetic Materials ";Physical Sciences and Engineering;NA;NA;
Journal of Biomedical Semantics;20411480;"Computer Networks and Communications;Computer Science Applications;Health Informatics;Information Systems ";Physical Sciences and Engineering;NA;NA;
Journal of Bionic Engineering;16726529;"Bioengineering 2; Biotechnology 2; Biophysics 3";Physical Sciences and Engineering;Engineering;Biomedical Engineering;Yes
Journal of Bionanoscience;15577929;"Biomaterials 4; Biomedical Engineering 4; Biotechnology 4; Nanoscience and Nanotechnology 4";Physical Sciences and Engineering;NA;NA;
Journal of Biorheology;18670474;"Materials Science 4; Mechanical Engineering 4; Mechanics of Materials 4";Physical Sciences and Engineering;Engineering;Mechanical Engineering;
Journal of Bridge Engineering;10840702;"Building and Construction;Civil and Structural Engineering ";Physical Sciences and Engineering;Engineering;BuildingConstruction;
Journal of Building Engineering;23527102;"Architecture;Building and Construction;Civil and Structural Engineering;Mechanics of Materials;Safety, Risk, Reliability and uality ";Physical Sciences and Engineering;Engineering;Civil and Structural Engineering;Yes
Journal of Building Physics;17442591;"Building and Construction 2; Materials Science 2";Physical Sciences and Engineering;Engineering;BuildingConstruction;
Journal of Building Performance Simulation;19401507;"Architecture;Building and Construction;Computer Science Applications;Modeling and Simulation ";Physical Sciences and Engineering;NA;NA;
Journal of Causal Inference;21933685;"Statistics and Probability 2; Statistics, Probability and Uncertainty 2";Physical Sciences and Engineering;Mathematics;Statistics and Probability;
Journal of Business and Economic Statistics;7350015;"Economics and Econometrics;Social Sciences;Statistics and Probability;Statistics, Probability and Uncertainty ";Physical Sciences and Engineering;NA;NA;
Journal of Business Logistics;21581592;"Business, Management and Accounting;Management Science and Operations Research ";Physical Sciences and Engineering;NA;NA;
Journal of Business-to-Business Marketing;15470628;"Management Information Systems 3; Marketing 3";Physical Sciences and Engineering;NA;NA;
Journal of Canadian Petroleum Technology;219487;"Chemical Engineering 4; Energy Engineering and Power Technology 4; Fuel Technology 4";Physical Sciences and Engineering;NA;NA;
Journal of Cases on Information Technology;15487717;"Computer Science Applications 4; Information Systems 4; Information Systems and Management 4; Strategy and Management 4";Physical Sciences and Engineering;NA;NA;
Journal of Catalysis;10902694;"Catalysis;Physical and Theoretical Chemistry ";Physical Sciences and Engineering;NA;NA;
Journal of Central South University;22275223;"Engineering 2; Metals and Alloys 2";Physical Sciences and Engineering;Engineering;Engineering (General);
Journal of Cellular Automata;15575977;"Computer Science 2; Control and Systems Engineering 3";Physical Sciences and Engineering;NA;NA;
Journal of Cellular Plastics;15307999;"Materials Chemistry;Polymers and Plastics;Chemistry 2";Physical Sciences and Engineering;NA;NA;
Journal of Ceramic Processing Research;12299162;Ceramics and Composites 4;Physical Sciences and Engineering;Materials Science;Ceramics and Composites;
Journal of Ceramic Science and Technology;21909385;Ceramics and Composites 3;Physical Sciences and Engineering;Materials Science;Ceramics and Composites;
"Journal of Chemical &amp; Engineering Data";219568;"Chemical Engineering;Chemistry 2";Physical Sciences and Engineering;Chemical Engineering;Chemical Engineering (General);
Journal of Chemical Crystallography;15728854;"Chemistry 3; Condensed Matter Physics 4";Physical Sciences and Engineering;Chemistry;Chemistry (General);
Journal of Chemical Education;19381328;"Chemistry 2; Education 2";Physical Sciences and Engineering;Chemistry;Chemistry (General);
Journal of Chemical Engineering of Japan;219592;"Chemical Engineering 3; Chemistry 3";Physical Sciences and Engineering;Chemical Engineering;Chemical Engineering (General);
Journal of Chemical Health and Safety;18715532;"Chemistry 2; Chemical Health and Safety 3";Physical Sciences and Engineering;Chemical Engineering;Chemical Health and Safety;Yes
Journal of Chemical Research;17475198;Chemistry 3;Physical Sciences and Engineering;Chemistry;Chemistry (General);
Journal of Chemical Information and Modeling;1549960X;"Chemical Engineering;Chemistry;Computer Science Applications;Library and Information Sciences ";Physical Sciences and Engineering;NA;NA;
Journal of Chemical Physics;10897690;"Medicine;Physical and Theoretical Chemistry;Physics and Astronomy ";Physical Sciences and Engineering;NA;NA;
Journal of Chemical Sciences;9743626;Chemistry 3;Physical Sciences and Engineering;Chemistry;Chemistry (General);
Journal of Chemical Technology and Metallurgy;13147978;"Chemical Engineering 3; Industrial and Manufacturing Engineering 3";Physical Sciences and Engineering;Chemical Engineering;Process Chemistry and Technology;
Journal of Chemical Theory and Computation;15499626;"Computer Science Applications;Physical and Theoretical Chemistry ";Physical Sciences and Engineering;Computer Science;Computer Science Applications;
Journal of Chemical Thermodynamics;10963626;"Atomic and Molecular Physics, and Optics 2; Materials Science 2; Physical and Theoretical Chemistry 2";Physical Sciences and Engineering;Chemistry;Inorganic Chemistry;
Journal of Chemistry;20909071;Chemistry 2;Physical Sciences and Engineering;Chemistry;Chemistry (General);
Journal of Chemistry and Technologies;26632934;"Chemical Engineering 4; Chemistry 4";Physical Sciences and Engineering;Chemical Engineering;Chemical Engineering (General);
Journal of Chemometrics;1099128X;"Analytical Chemistry 3; Applied Mathematics 3";Physical Sciences and Engineering;Chemistry;Analytical Chemistry;
Journal of Chengdu University of Technology (Science and Technology Edition);16719727;Geology 3;Physical Sciences and Engineering;Earth and Planetary Sciences;Geology;
Journal of China Universities of Posts and Telecommunications;10058885;"Computer Networks and Communications 3; Information Systems 4; Signal Processing 4";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;Yes
Journal of Chinese Mass Spectrometry Society;10042997;Atomic and Molecular Physics, and Optics 4;Physical Sciences and Engineering;Physics and Astronomy;Atomic and Molecular Physics, and Optics;
Journal of Chromatographic Science;219665;"Analytical Chemistry 3; Medicine 3";Physical Sciences and Engineering;Chemistry;Analytical Chemistry;
Journal of Chromatography A;219673;"Analytical Chemistry;Medicine;Organic Chemistry;Biochemistry 2";Physical Sciences and Engineering;Chemistry;Analytical Chemistry;Yes
Journal of Circuits, Systems and Computers;17936454;"Electrical and Electronic Engineering 3; Hardware and Architecture 3";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Journal of Civil Structural Health Monitoring;21905479;"Civil and Structural Engineering;Safety, Risk, Reliability and uality ";Physical Sciences and Engineering;Engineering;Civil and Structural Engineering;
Journal of Climatology & Applied Meteorology;7333021;Engineering 3;Physical Sciences and Engineering;Engineering;Engineering (General);
Journal of Cloud Computing;2192113X;"Computer Networks and Communications 2; Software 2";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Journal of Cold Regions Engineering - ASCE;0887381X;"Industrial and Manufacturing Engineering 2; Geotechnical Engineering and Engineering Geology 3";Physical Sciences and Engineering;Engineering;Industrial and Manufacturing Engineering;
Journal of Cluster Science;15728862;"Chemistry 3; Condensed Matter Physics 3; Materials Science 3; Biochemistry 4";Physical Sciences and Engineering;NA;NA;
Journal of Coatings Technology;3618773;"Chemistry 4; Surfaces and Interfaces 4; Surfaces, Coatings and Films 4";Physical Sciences and Engineering;NA;NA;
Journal of Coatings Technology Research;15470091;"Chemistry 2; Surfaces, Coatings and Films 2; Surfaces and Interfaces 3; Colloid and Surface Chemistry 4";Physical Sciences and Engineering;NA;NA;
Journal of Cognitive Engineering and Decision Making;21695032;"Engineering;Applied Psychology 2; Computer Science Applications 2; Human Factors and Ergonomics 2";Physical Sciences and Engineering;NA;NA;
Journal of Combinatorial Designs;10638539;Discrete Mathematics and Combinatorics 2;Physical Sciences and Engineering;Mathematics;Discrete Mathematics and Combinatorics;
Journal of Colloid and Interface Science;10957103;"Biomaterials;Colloid and Surface Chemistry;Electronic, Optical and Magnetic Materials;Surfaces, Coatings and Films ";Physical Sciences and Engineering;NA;NA;
Journal of Combinatorial Algebra;24156310;"Algebra and Number Theory; Discrete Mathematics and Combinatorics";Physical Sciences and Engineering;NA;NA;
Journal of Combinatorial Mathematics and Combinatorial Computing;8353026;Mathematics 3;Physical Sciences and Engineering;Mathematics;Mathematics (General);
Journal of Combinatorial Theory - Series A;973165;"Computational Theory and Mathematics;Discrete Mathematics and Combinatorics;Theoretical Computer Science ";Physical Sciences and Engineering;Mathematics;Discrete Mathematics and Combinatorics;Yes
Journal of Combinatorial Optimization;13826905;"Applied Mathematics 2; Computational Theory and Mathematics 2; Computer Science Applications 2; Control and Optimization 2; Discrete Mathematics and Combinatorics 2";Physical Sciences and Engineering;NA;NA;
Journal of Commodity Markets;24058513;"Economics and Econometrics 2; Finance 2";Physical Sciences and Engineering;Energy;Renewable Energy, Sustainability and the Environment;Yes
Journal of Combinatorial Theory. Series B;10960902;"Computational Theory and Mathematics;Discrete Mathematics and Combinatorics;Theoretical Computer Science ";Physical Sciences and Engineering;NA;NA;
Journal of Communications;17962021;Electrical and Electronic Engineering 4;Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Journal of Communications and Networks;12292370;"Computer Networks and Communications 2; Information Systems 2";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Journal of Communications Software and Systems;18456421;"Electrical and Electronic Engineering 3; Software 4";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Journal of Commutative Algebra;19390807;Algebra and Number Theory 3;Physical Sciences and Engineering;Mathematics;Algebra and Number Theory;
Journal of Communications Technology and Electronics;15556557;"Electrical and Electronic Engineering 2; Condensed Matter Physics 3; Electronic, Optical and Magnetic Materials 3; Radiation 3";Physical Sciences and Engineering;NA;NA;
Journal of Comparative Economics;10957227;Economics and Econometrics ;Physical Sciences and Engineering;EconomicsEconometrics;EconomicsEconometrics;
Journal of Complexity;0885064X;"Control and Optimization;Algebra and Number Theory 2; Applied Mathematics 2; Mathematics 2; Numerical Analysis 2; Statistics and Probability 2";Physical Sciences and Engineering;Mathematics;Analysis;Yes
Journal of Comparative Family Studies;472328;"Anthropology 2; Social Psychology 3; Sociology and Political Science 3";Physical Sciences and Engineering;NA;NA;
Journal of Complex Networks;20511310;"Computer Networks and Communications;Control and Optimization;Applied Mathematics 2; Computational Mathematics 2; Management Science and Operations Research 2";Physical Sciences and Engineering;NA;NA;
Journal of Computational Analysis and Applications;15211398;Computational Mathematics 3;Physical Sciences and Engineering;Mathematics;Computational Mathematics;
Journal of Composite Materials;219983;"Ceramics and Composites 2; Materials Chemistry 2; Mechanical Engineering 2; Mechanics of Materials 2";Physical Sciences and Engineering;NA;NA;
Journal of Composites for Construction;10900268;"Building and Construction;Ceramics and Composites;Civil and Structural Engineering;Mechanical Engineering;Mechanics of Materials ";Physical Sciences and Engineering;NA;NA;
Journal of Computational Acoustics;17936489;"Acoustics and Ultrasonics 2; Applied Mathematics 3";Physical Sciences and Engineering;NA;NA;
Journal of Computational and Applied Mathematics;3770427;"Applied Mathematics 2; Computational Mathematics 2";Physical Sciences and Engineering;Mathematics;Applied Mathematics;Yes
Journal of Computational Dynamics;21582505;"Computational Mathematics 2; Computational Mechanics 2";Physical Sciences and Engineering;Mathematics;Computational Mathematics;
Journal of Computational and Applied Research in Mechanical Engineering;22516549;"Industrial and Manufacturing Engineering 3; Mechanical Engineering 3; Computational Mechanics 4; Mechanics of Materials 4";Physical Sciences and Engineering;NA;NA;
Journal of Computational and Graphical Statistics;10618600;"Discrete Mathematics and Combinatorics;Statistics and Probability;Statistics, Probability and Uncertainty ";Physical Sciences and Engineering;NA;NA;
Journal of Computational and Nonlinear Dynamics;15551423;"Applied Mathematics 2; Control and Systems Engineering 2; Mechanical Engineering 2";Physical Sciences and Engineering;NA;NA;
Journal of Computational and Theoretical Nanoscience;15461955;"Chemistry 4; Computational Mathematics 4; Condensed Matter Physics 4; Electrical and Electronic Engineering 4; Materials Science 4; Nanoscience and Nanotechnology 4";Physical Sciences and Engineering;NA;NA;
Journal of Computational and Theoretical Transport;23324309;"Applied Mathematics 3; Mathematical Physics 3; Physics and Astronomy 3; Statistical and Nonlinear Physics 3; Transportation 3";Physical Sciences and Engineering;NA;NA;
Journal of Computational Biology;15578666;"Computational Mathematics 2; Computational Theory and Mathematics 2; Modeling and Simulation 2; Genetics 3; Molecular Biology 3";Physical Sciences and Engineering;NA;NA;
Journal of Computational Chemistry;1096987X;"Chemistry;Computational Mathematics ";Physical Sciences and Engineering;NA;NA;
Journal of Computational Design and Engineering;22885048;"Computational Mechanics;Computer Graphics and Computer-Aided Design;Engineering;Computational Mathematics 2; Human-Computer Interaction 2; Modeling and Simulation 2";Physical Sciences and Engineering;NA;NA;
Journal of Computational Mathematics;2549409;Computational Mathematics 2;Physical Sciences and Engineering;Mathematics;Computational Mathematics;
Journal of Computational Electronics;15698025;"Electrical and Electronic Engineering 2; Atomic and Molecular Physics, and Optics 3; Electronic, Optical and Magnetic Materials 3; Modeling and Simulation 3";Physical Sciences and Engineering;NA;NA;
Journal of Computational Geometry;1920180X;"Computational Theory and Mathematics; Computer Science Applications; Geometry and Topology";Physical Sciences and Engineering;NA;NA;
Journal of Computational Physics: X;25900552;"Computer Science Applications; Physics and Astronomy";Physical Sciences and Engineering;Physics and Astronomy;Physics and Astronomy (General);Yes
Journal of Computational Methods in Sciences and Engineering;14727978;"Engineering 3; Computational Mathematics 4; Computer Science Applications 4";Physical Sciences and Engineering;NA;NA;
Journal of Computational Multiphase Flows;1757482X;"Engineering 2; Physics and Astronomy 4";Physical Sciences and Engineering;NA;NA;
Journal of Computational Physics;10902716;"Applied Mathematics;Computational Mathematics;Computer Science Applications;Modeling and Simulation;Numerical Analysis;Physics and Astronomy ";Physical Sciences and Engineering;NA;NA;
Journal of Computational Science;18777503;"Computer Science;Modeling and Simulation 2; Theoretical Computer Science 2";Physical Sciences and Engineering;Computer Science;Computational Theory and Mathematics;Yes
Journal of Computer Assisted Learning;13652729;"Computer Science Applications;Education;E-learning ";Physical Sciences and Engineering;Computer Science;Computer Science Applications;
Journal of Computational Technologies;2313691X;"Applied Mathematics; Computational Mathematics; Computational Theory and Mathematics; Computer Networks and Communications; Numerical Analysis; Software";Physical Sciences and Engineering;NA;NA;
Journal of Computer and System Sciences;10902724;"Computer Networks and Communications;Applied Mathematics 2; Computational Theory and Mathematics 2; Theoretical Computer Science 2";Physical Sciences and Engineering;NA;NA;
Journal of Computer and Systems Sciences International;10642307;"Applied Mathematics 3; Computer Networks and Communications 3; Computer Vision and Pattern Recognition 3; Control and Systems Engineering 3; Information Systems 3; Software 3; Theoretical Computer Science 4";Physical Sciences and Engineering;NA;NA;
Journal of Computer Information Systems;8874417;"Computer Networks and Communications 2; Education 2; Information Systems 2";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Journal of Computer Languages;25901184;"Computer Networks and Communications; Human-Computer Interaction; Software";Physical Sciences and Engineering;Computer Science;Computer Science Applications;Yes
Journal of Computer Networks and Communications;20907141;"Computer Networks and Communications 2; Information Systems 3";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Journal of Computers (Taiwan);2312993X;Computer Science 4;Physical Sciences and Engineering;Computer Science;Computer Science (General);
Journal of Computer Science;15493636;"Artificial Intelligence 4; Computer Networks and Communications 4; Software 4";Physical Sciences and Engineering;NA;NA;
Journal of Computer Science and Technology;18604749;"Computer Science Applications 2; Hardware and Architecture 2; Software 2; Computational Theory and Mathematics 3; Theoretical Computer Science 3";Physical Sciences and Engineering;NA;NA;
Journal of Computer Security;0926227X;"Computer Networks and Communications 3; Hardware and Architecture 3; Safety, Risk, Reliability and uality 3; Software 3";Physical Sciences and Engineering;NA;NA;
Journal of Computer Virology and Hacking Techniques;22638733;"Computer Science 2; Hardware and Architecture 2; Software 2; Computational Theory and Mathematics 3";Physical Sciences and Engineering;NA;NA;
Journal of Computing and Information Technology;13301136;Computer Science 3;Physical Sciences and Engineering;Computer Science;Computer Science (General);
Journal of Computing and Information Science in Engineering;15309827;"Computer Graphics and Computer-Aided Design 2; Computer Science Applications 2; Industrial and Manufacturing Engineering 2; Software 2";Physical Sciences and Engineering;NA;NA;
Journal of Computing in Civil Engineering;8873801;"Civil and Structural Engineering;Computer Science Applications ";Physical Sciences and Engineering;Engineering;Civil and Structural Engineering;
Journal of Conflict Archaeology;15740781;"History 2; Archeology 3; Archeology arts and humanities 3";Physical Sciences and Engineering;Archeologyartshumanities History;Archeologyartshumanities;
Journal of Condensed Matter Nuclear Science;22273123;"Atomic and Molecular Physics, and Optics 4; Condensed Matter Physics 4; Nuclear and High Energy Physics 4; Nuclear Energy and Engineering 4";Physical Sciences and Engineering;NA;NA;
Journal of Construction in Developing Countries;18236499;"Building and Construction 3; Civil and Structural Engineering 3";Physical Sciences and Engineering;Engineering;BuildingConstruction;
Journal of Construction Engineering and Management - ASCE;7339364;"Building and Construction;Civil and Structural Engineering;Industrial Relations;Strategy and Management ";Physical Sciences and Engineering;NA;NA;
Journal of Constructional Steel Research;0143974X;"Building and Construction;Civil and Structural Engineering;Mechanics of Materials;Metals and Alloys ";Physical Sciences and Engineering;Engineering;Civil and Structural Engineering;Yes
Journal of Contemporary Physics;19349378;Physics and Astronomy 3;Physical Sciences and Engineering;Physics and Astronomy;Physics and Astronomy (General);
Journal of Contemporary Iraq and the Arab World;25158546;"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences";Physical Sciences and Engineering;NA;NA;
Journal of Contemporary Mathematical Analysis;10683623;"Analysis 4; Applied Mathematics 4; Control and Optimization 4";Physical Sciences and Engineering;NA;NA;
Journal of Cosmology and Astroparticle Physics;14757516;Astronomy and Astrophysics 2;Physical Sciences and Engineering;Physics and Astronomy;Astronomy and Astrophysics;
Journal of Contingencies and Crisis Management;14685973;"Management Information Systems 2; Management, Monitoring, Policy and Law 2";Physical Sciences and Engineering;NA;NA;
Journal of Continuing Education in the Health Professions;8941912;"Education 2; E-learning 2; Medicine 2";Physical Sciences and Engineering;NA;NA;
Journal of Control and Decision;23307714;"Computer Networks and Communications;Control and Optimization;Human-Computer Interaction;Information Systems;Artificial Intelligence 2; Control and Systems Engineering 2; Signal Processing 2";Physical Sciences and Engineering;NA;NA;
Journal of Control Science and Engineering;16875249;"Computer Science Applications 3; Electrical and Electronic Engineering 3; Modeling and Simulation 3";Physical Sciences and Engineering;NA;NA;
Journal of Control, Automation and Electrical Systems;21953880;"Computer Science Applications 3; Control and Systems Engineering 3; Electrical and Electronic Engineering 3; Energy Engineering and Power Technology 3";Physical Sciences and Engineering;NA;NA;
Journal of Convex Analysis;9446532;"Analysis 2; Mathematics 2";Physical Sciences and Engineering;NA;NA;
Journal of Coordination Chemistry;10290389;"Materials Chemistry 3; Physical and Theoretical Chemistry 3";Physical Sciences and Engineering;NA;NA;
Journal of Corrosion Science and Engineering;14668858;"Materials Chemistry 4; Metals and Alloys 4; Surfaces, Coatings and Films 4";Physical Sciences and Engineering;NA;NA;
Journal of Cosmetic Science;15257886;"Chemistry 3; Dermatology 3; Medicine 3";Physical Sciences and Engineering;NA;NA;
Journal of Cotton Science;15236919;Materials Science 3;Physical Sciences and Engineering;Materials Science;Materials Science (General);
Journal of Cryptographic Engineering;21908516;"Computer Networks and Communications 2; Software 2";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Journal of Criminological Research, Policy and Practice;2056385X;"Law 2; Sociology and Political Science 2; Health social science 3; Public Administration 3; Social Psychology 3";Physical Sciences and Engineering;NA;NA;
Journal of Crystal Growth;220248;"Condensed Matter Physics 2; Inorganic Chemistry 2; Materials Chemistry 2";Physical Sciences and Engineering;Physics and Astronomy;Condensed Matter Physics;Yes
Journal of Cryptologic Research;20957025;"Applied Mathematics; Computational Mathematics; Computer Science Applications; Electrical and Electronic Engineering; Software";Physical Sciences and Engineering;NA;NA;
Journal of Cultural Heritage;12962074;"Anthropology;Archeology arts and humanities;Conservation;Economics, Econometrics and Finance;History;Chemistry 2; Computer Science Applications 2; Materials Science 2; Spectroscopy 2";Physical Sciences and Engineering;Chemistry;Physical and Theoretical Chemistry;Yes
Journal of Cyber Security and Mobility;22454578;"Computer Networks and Communications 4; Hardware and Architecture 4";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Journal of Cultural Heritage Management and Sustainable Development;20441274;"Conservation;Urban Studies 2; Business, Management and Accounting 3; Geography, Planning and Development 3";Physical Sciences and Engineering;NA;NA;
Journal of Database Management;15338010;"Hardware and Architecture 3; Information Systems 3; Software 3";Physical Sciences and Engineering;Computer Science;Hardware and Architecture;
Journal of Cybersecurity;20572093;"Computer Science;Law;Political Science and International Relations;Computer Networks and Communications 2; Safety, Risk, Reliability and uality 2; Social Psychology 2";Physical Sciences and Engineering;NA;NA;
Journal of Data and Information Quality;19361963;"Information Systems 2; Information Systems and Management 2";Physical Sciences and Engineering;NA;NA;
Journal of Daylighting;23838701;"Energy 2; Renewable Energy, Sustainability and the Environment 2";Physical Sciences and Engineering;Energy;Energy (General);
Journal of Design Automation & Fault-Tolerant Computing;991708;Engineering 3;Physical Sciences and Engineering;Engineering;Engineering (General);
Journal of Decision Systems;21167052;"Management Information Systems 3; Software 3";Physical Sciences and Engineering;NA;NA;
Journal of Differential Equations;220396;"Analysis;Applied Mathematics ";Physical Sciences and Engineering;Mathematics;Analysis;Yes
Journal of Design Research;17483050;"Engineering 2; Computer Graphics and Computer-Aided Design 3";Physical Sciences and Engineering;NA;NA;
Journal of Difference Equations and Applications;15635120;"Applied Mathematics 2; Algebra and Number Theory 3; Analysis 3";Physical Sciences and Engineering;NA;NA;
Journal of Differential Geometry;0022040X;"Algebra and Number Theory;Analysis;Geometry and Topology ";Physical Sciences and Engineering;Mathematics;Algebra and Number Theory;
Journal of Discrete Algorithms;15708667;"Computational Theory and Mathematics 3; Discrete Mathematics and Combinatorics 3; Theoretical Computer Science 4";Physical Sciences and Engineering;Computer Science;Computational Theory and Mathematics;Yes
Journal of Disaster Research;18812473;"Engineering 2; Safety, Risk, Reliability and uality 3";Physical Sciences and Engineering;NA;NA;
Journal of Discrete Mathematical Sciences and Cryptography;9720529;"Algebra and Number Theory 4; Analysis 4; Applied Mathematics 4";Physical Sciences and Engineering;Mathematics;Algebra and Number Theory;
Journal of Donghua University (English Edition);16725220;"Industrial and Manufacturing Engineering 3; Polymers and Plastics 4";Physical Sciences and Engineering;Engineering;Industrial and Manufacturing Engineering;
Journal of Dispersion Science and Technology;15322351;"Polymers and Plastics 2; Physical and Theoretical Chemistry 3; Surfaces, Coatings and Films 3";Physical Sciences and Engineering;NA;NA;
Journal of Dynamic Behavior of Materials;21997446;"Materials Science 2; Mechanics of Materials 2";Physical Sciences and Engineering;Materials Science;Materials Science (General);
Journal of Dynamics and Control;16726553;"Computational Mechanics 3; Control and Optimization 4";Physical Sciences and Engineering;Engineering;Computational Mechanics;
Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME;220434;"Computer Science Applications 2; Control and Systems Engineering 2; Information Systems 2; Instrumentation 2; Mechanical Engineering 2";Physical Sciences and Engineering;NA;NA;
Journal of Dynamical and Control Systems;15738698;"Control and Optimization 2; Control and Systems Engineering 2; Algebra and Number Theory 3; Numerical Analysis 3";Physical Sciences and Engineering;NA;NA;
Journal of E-Learning and Knowledge Society;18266223;"Computer Science Applications 3; Education 3; E-learning 3";Physical Sciences and Engineering;Computer Science;Computer Science Applications;
Journal of Dynamics and Games;21646074;"Applied Mathematics 4; Modeling and Simulation 4; Statistics and Probability 4";Physical Sciences and Engineering;NA;NA;
Journal of Earth Science;1867111X;Earth and Planetary Sciences ;Physical Sciences and Engineering;Earth and Planetary Sciences;Earth and Planetary Sciences (General);
Journal of Earth System Science;23474327;Earth and Planetary Sciences 2;Physical Sciences and Engineering;Earth and Planetary Sciences;Earth and Planetary Sciences (General);
Journal of Econometrics;3044076;"Applied Mathematics;Economics and Econometrics;History and Philosophy of Science ";Physical Sciences and Engineering;Mathematics;Statistics and Probability;Yes
